tau_m;tau_A;DELTA
0;0;-908,714512820513
25;0;-1036,27861538462
50;0;-1163,84271794872
75;0;-1291,40682051282
100;0;-1418,97092307692
125;0;-1546,53502564103
150;0;-1674,09912820513
175;0;-1801,66323076923
200;0;-1929,22733333333
0;25;-933,714512820513
25;25;-1061,27861538462
50;25;-1188,84271794872
75;25;-1316,40682051282
100;25;-1443,97092307692
125;25;-1571,53502564103
150;25;-1699,09912820513
175;25;-1826,66323076923
200;25;-1954,22733333333
0;50;-958,714512820513
25;50;-1086,27861538462
50;50;-1213,84271794872
75;50;-1341,40682051282
100;50;-1468,97092307692
125;50;-1596,53502564103
150;50;-1724,09912820513
175;50;-1851,66323076923
200;50;-1979,22733333333
0;75;-983,714512820513
25;75;-1111,27861538462
50;75;-1238,84271794872
75;75;-1366,40682051282
100;75;-1493,97092307692
125;75;-1621,53502564103
150;75;-1749,09912820513
175;75;-1876,66323076923
200;75;-2004,22733333333
0;100;-1008,71451282051
25;100;-1136,27861538462
50;100;-1263,84271794872
75;100;-1391,40682051282
100;100;-1518,97092307692
125;100;-1646,53502564103
150;100;-1774,09912820513
175;100;-1901,66323076923
200;100;-2029,22733333333
0;125;-1033,71451282051
25;125;-1161,27861538462
50;125;-1288,84271794872
75;125;-1416,40682051282
100;125;-1543,97092307692
125;125;-1671,53502564103
150;125;-1799,09912820513
175;125;-1926,66323076923
200;125;-2054,22733333333
0;150;-1058,71451282051
25;150;-1186,27861538462
50;150;-1313,84271794872
75;150;-1441,40682051282
100;150;-1568,97092307692
125;150;-1696,53502564103
150;150;-1824,09912820513
175;150;-1951,66323076923
200;150;-2079,22733333333
0;175;-1083,71451282051
25;175;-1211,27861538462
50;175;-1338,84271794872
75;175;-1466,40682051282
100;175;-1593,97092307692
125;175;-1721,53502564103
150;175;-1849,09912820513
175;175;-1976,66323076923
200;175;-2104,22733333333
0;200;-1108,71451282051
25;200;-1236,27861538462
50;200;-1363,84271794872
75;200;-1491,40682051282
100;200;-1618,97092307692
125;200;-1746,53502564103
150;200;-1874,09912820513
175;200;-2001,66323076923
200;200;-2129,22733333333
