tau_m;tau_A;DELTA
0;0;0,243243243243243
-0,01;0;0,287297297297297
-0,02;0;0,331351351351351
-0,03;0;0,375405405405405
-0,04;0;0,419459459459459
-0,05;0;0,463513513513514
-0,06;0;0,507567567567568
-0,07;0;0,551621621621622
-0,08;0;0,595675675675676
0;-0,01;0,253243243243243
-0,01;-0,01;0,297297297297297
-0,02;-0,01;0,341351351351351
-0,03;-0,01;0,385405405405405
-0,04;-0,01;0,42945945945946
-0,05;-0,01;0,473513513513514
-0,06;-0,01;0,517567567567567
-0,07;-0,01;0,561621621621622
-0,08;-0,01;0,605675675675676
0;-0,02;0,263243243243243
-0,01;-0,02;0,307297297297297
-0,02;-0,02;0,351351351351351
-0,03;-0,02;0,395405405405405
-0,04;-0,02;0,439459459459459
-0,05;-0,02;0,483513513513513
-0,06;-0,02;0,527567567567568
-0,07;-0,02;0,571621621621622
-0,08;-0,02;0,615675675675676
0;-0,03;0,273243243243243
-0,01;-0,03;0,317297297297297
-0,02;-0,03;0,361351351351351
-0,03;-0,03;0,405405405405405
-0,04;-0,03;0,449459459459459
-0,05;-0,03;0,493513513513513
-0,06;-0,03;0,537567567567568
-0,07;-0,03;0,581621621621622
-0,08;-0,03;0,625675675675676
0;-0,04;0,283243243243243
-0,01;-0,04;0,327297297297297
-0,02;-0,04;0,371351351351351
-0,03;-0,04;0,415405405405405
-0,04;-0,04;0,45945945945946
-0,05;-0,04;0,503513513513513
-0,06;-0,04;0,547567567567568
-0,07;-0,04;0,591621621621622
-0,08;-0,04;0,635675675675676
0;-0,05;0,293243243243243
-0,01;-0,05;0,337297297297297
-0,02;-0,05;0,381351351351351
-0,03;-0,05;0,425405405405405
-0,04;-0,05;0,469459459459459
-0,05;-0,05;0,513513513513513
-0,06;-0,05;0,557567567567567
-0,07;-0,05;0,601621621621622
-0,08;-0,05;0,645675675675676
0;-0,06;0,303243243243243
-0,01;-0,06;0,347297297297297
-0,02;-0,06;0,391351351351351
-0,03;-0,06;0,435405405405405
-0,04;-0,06;0,479459459459459
-0,05;-0,06;0,523513513513514
-0,06;-0,06;0,567567567567567
-0,07;-0,06;0,611621621621622
-0,08;-0,06;0,655675675675676
0;-0,07;0,313243243243243
-0,01;-0,07;0,357297297297297
-0,02;-0,07;0,401351351351351
-0,03;-0,07;0,445405405405405
-0,04;-0,07;0,489459459459459
-0,05;-0,07;0,533513513513513
-0,06;-0,07;0,577567567567568
-0,07;-0,07;0,621621621621622
-0,08;-0,07;0,665675675675676
0;-0,08;0,323243243243243
-0,01;-0,08;0,367297297297297
-0,02;-0,08;0,411351351351351
-0,03;-0,08;0,455405405405405
-0,04;-0,08;0,49945945945946
-0,05;-0,08;0,543513513513514
-0,06;-0,08;0,587567567567568
-0,07;-0,08;0,631621621621622
-0,08;-0,08;0,675675675675676
